name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
17960,2013-02-17,29.9,20.3,26.0,18.1,4.3,13.4,7.0,44.2,0.0,0,0.0,,0.0,0.2,38.0,27.0,314.0,1012.0,53.7,9.6,124.0,10.7,4.0,,2013-02-17T06:54:45,2013-02-17T17:41:27,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-18,35.1,17.3,26.2,29.9,3.4,17.4,7.4,45.0,0.0,0,0.0,,0.0,0.2,33.3,19.4,283.3,1023.9,7.0,9.9,187.5,16.0,7.0,,2013-02-18T06:53:24,2013-02-18T17:42:38,0.27,Clear,Clear conditions throughout the day.,clear-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-19,40.7,24.7,33.6,36.8,18.5,29.6,25.9,74.3,0.179,100,33.33,"rain,snow",0.4,0.3,16.1,13.3,222.1,1013.1,47.1,8.2,60.9,5.3,3.0,,2013-02-19T06:52:01,2013-02-19T17:43:50,0.3,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-20,33.9,24.4,28.2,24.1,12.1,16.5,11.9,50.2,0.0,0,0.0,"rain,snow",0.5,0.9,33.6,22.2,286.7,1014.2,64.5,9.9,113.8,9.7,4.0,,2013-02-20T06:50:37,2013-02-20T17:45:01,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-21,35.1,23.2,28.5,25.5,11.8,18.1,12.4,50.8,0.0,0,0.0,,0.0,0.8,34.4,19.6,306.4,1021.0,60.1,9.9,161.6,14.0,6.0,,2013-02-21T06:49:12,2013-02-21T17:46:12,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-22,35.7,20.9,29.4,31.3,13.8,25.3,18.6,64.1,0.0,0,0.0,,0.0,0.7,,7.6,117.9,1027.2,44.5,9.9,109.2,9.6,5.0,,2013-02-22T06:47:46,2013-02-22T17:47:22,0.4,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-23,44.3,33.4,38.2,44.3,29.7,35.7,36.0,92.1,0.046,100,45.83,"rain,snow",0.0,0.4,,6.9,28.6,1016.9,100.0,3.2,29.6,2.5,2.0,,2013-02-23T06:46:20,2013-02-23T17:48:32,0.43,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-24,42.9,32.0,37.8,38.5,23.8,32.4,29.0,72.2,0.0,0,0.0,,0.0,0.1,28.1,17.5,304.5,1012.1,74.7,8.8,173.8,15.1,7.0,,2013-02-24T06:44:52,2013-02-24T17:49:42,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-25,43.8,30.8,36.8,40.0,24.9,33.0,22.7,57.1,0.0,0,0.0,,0.0,0.0,17.2,10.4,333.7,1021.3,71.7,9.9,187.4,16.4,7.0,,2013-02-25T06:43:23,2013-02-25T17:50:52,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-26,44.2,25.3,34.8,38.7,25.3,30.9,27.5,75.6,0.151,100,20.83,rain,0.0,0.0,36.4,17.8,89.3,1020.4,43.1,8.9,67.7,5.7,3.0,,2013-02-26T06:41:54,2013-02-26T17:52:01,0.53,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72517014737,72510314712,KRDG,KXLL"
